postal_code;municipality;rent;size
02400;Kirkkonummi;700;45.5
00500;Helsinki;898;42
00150;Helsinki;2500;117
01800;Nurmijärvi;748;42
00180;Helsinki;940;44
20100;Turku;890;74
04200;Kerava;695;38
40100;Jyväskylä;695;38
00140;Helsinki;1600;75
00550;Helsinki;968;45.4
15100;Lahti;650;49
70910;Siilinjärvi;1090;68
20100;Turku;640;48
00540;Helsinki;1140;53.5
02710;Espoo;967;51.4
00540;Helsinki;1160;54.5
24100;Salo;400;23
40100;Jyväskylä;400;23
20520;Turku;400;23
04250;Kerava;852;50
11120;Riihimäki;740;58.5
00540;Helsinki;1160;54.5
00540;Helsinki;1160;54.5
33100;Tampere;620;46
00540;Helsinki;1160;54.5
00540;Helsinki;1390;65.5
33240;Tampere;480;31.4
33100;Tampere;1290;98
08100;Lohja;500;33.5
20100;Turku;1050;91
15700;Lahti;806;65.5
00550;Helsinki;980;46.2
28100;Pori;745;42
80160;Joensuu;485;32
20500;Turku;590;43
04400;Järvenpää;630;47.2
00530;Helsinki;1950;92
33200;Tampere;690;53.5
33100;Tampere;728;57.5
02320;Espoo;500;17
01600;Vantaa;1573;87
02600;Espoo;1039;51
90530;Oulu;675;52
33100;Tampere;675;52
04420;Järvenpää;675;52
15950;Lahti;555;33
00500;Helsinki;975;46
00140;Helsinki;995;47
00550;Helsinki;946;44.7
70300;Kuopio;795;46
02160;Espoo;3900;270
00170;Helsinki;1000;47.27
33720;Tampere;940;80
33200;Tampere;830;68.5
00530;Helsinki;1100;52
05800;Hyvinkää;800;46.5
00550;Helsinki;960;45.4
00340;Helsinki;2099;99.5
13100;Hämeenlinna;530;37
00560;Helsinki;1230;58.5
00960;Helsinki;3150;150
00220;Helsinki;1785;85
13100;Hämeenlinna;520;36
05800;Hyvinkää;520;36
00220;Helsinki;1459.5;69.5
40100;Jyväskylä;1001;62
00220;Helsinki;1323;63
70200;Kuopio;700;55
00100;Helsinki;1175;56
04400;Järvenpää;1100;82
00400;Helsinki;985;47
00400;Helsinki;890;42.5
90530;Oulu;671;52
02770;Espoo;620;23
01620;Vantaa;922;43.5
00720;Helsinki;795;38
00530;Helsinki;909.19;43.5
40100;Jyväskylä;895;54
37120;Nokia;405;24
02410;Kirkkonummi;495;33.5
00930;Helsinki;741;35.5
00560;Helsinki;1220;58.5
33230;Tampere;670;52
70110;Kuopio;670;52
00570;Helsinki;980;47
02400;Kirkkonummi;998;62
00140;Helsinki;990;47.5
20720;Turku;575;42
00180;Helsinki;1239;59.5
00170;Helsinki;795;38.22
33540;Tampere;660;51
20100;Turku;790;54.5
00180;Helsinki;2100;101
15700;Lahti;934;80
04200;Kerava;685;38
20700;Turku;880;53
01840;Nurmijärvi;880;53
20500;Turku;650;50
65100;Vaasa;650;50
04300;Tuusula;990;61.5
40520;Jyväskylä;743;42.5
00560;Helsinki;1100;53
13250;Hämeenlinna;489;33
60100;Seinäjoki;470;31
00790;Helsinki;1224;59
00540;Helsinki;1130;54.5
33500;Tampere;720;57.5
01900;Nurmijärvi;720;57.5
00790;Helsinki;1150;55.5
00500;Helsinki;1160;56
01200;Vantaa;1600;100
00370;Helsinki;1097;53
00420;Helsinki;869;42
20100;Turku;748;60.5
00370;Helsinki;1065;51.5
00100;Helsinki;2355;114
02400;Kirkkonummi;975;60.5
04300;Tuusula;1150;74
00560;Helsinki;1074;52
00210;Helsinki;980;47.5
00260;Helsinki;2000;97
13200;Hämeenlinna;620;47
70620;Kuopio;620;47
53600;Lappeenranta;620;47
33200;Tampere;700;55.5
33520;Tampere;780;64
90650;Oulu;450;29
13100;Hämeenlinna;450;29
40100;Jyväskylä;883;53.5
00530;Helsinki;1109;54
00500;Helsinki;1365;66.5
05800;Hyvinkää;740;42.5
20100;Turku;440;28
00180;Helsinki;1210;59
02430;Kirkkonummi;1050;66.5
00180;Helsinki;1210;59
00250;Helsinki;895;43.65
00990;Helsinki;1640;80
00220;Helsinki;1496.5;73
00220;Helsinki;1496.5;73
00220;Helsinki;973.75;47.5
00880;Helsinki;871.25;42.5
00210;Helsinki;1741;85
15140;Lahti;510;35.5
00180;Helsinki;1700;83
00550;Helsinki;1454;71
90120;Oulu;430;27
20810;Turku;740;60
33100;Tampere;740;60
13500;Hämeenlinna;895;76.5
13200;Hämeenlinna;530;31.5
20810;Turku;505;35
40100;Jyväskylä;887;54
00330;Helsinki;1350;66
02200;Espoo;1015;50.5
02230;Espoo;920;44
01610;Vantaa;920;44
00200;Helsinki;820;40.2
21100;Naantali;420;26
20810;Turku;420;26
15110;Lahti;842;71
15110;Lahti;842;71
15110;Lahti;804;67
33100;Tampere;750;43.5
01600;Vantaa;1006;50
00810;Helsinki;1325;65
20200;Turku;560;41
05800;Hyvinkää;943;58.5
00540;Helsinki;2099;103
06150;Porvoo;705;56.5
00610;Helsinki;927.03;45.5
00250;Helsinki;1100;54
00560;Helsinki;1770;87
33230;Tampere;550;40
01300;Vantaa;990;49
05800;Hyvinkää;620;47.5
28130;Pori;690;55
33720;Tampere;470;31.5
20300;Turku;555;34
15110;Lahti;624;48
04300;Tuusula;895;77
04300;Tuusula;895;77
04300;Tuusula;895;77
96100;Rovaniemi;820;69
70500;Kuopio;1300;86.5
02770;Espoo;922;44.5
33720;Tampere;565;35
20540;Turku;940;82
02400;Kirkkonummi;1150;75
33720;Tampere;450;29.5
15110;Lahti;818;69
80120;Joensuu;720;41.5
00540;Helsinki;1210;59.5
02460;Kirkkonummi;515;36.5
70780;Kuopio;1200;110
00300;Helsinki;1158;57
02710;Espoo;940;51.4
20540;Turku;950;59.5
01620;Vantaa;1195;63.5
00790;Helsinki;984;48.5
00990;Helsinki;1255;62
00990;Helsinki;920;45.5
02650;Espoo;840;39
20700;Turku;640;50
40100;Jyväskylä;879;54
40100;Jyväskylä;879;54
40100;Jyväskylä;879;54
40100;Jyväskylä;879;54
00250;Helsinki;950;47
70460;Kuopio;500;35
40100;Jyväskylä;872;53.5
00500;Helsinki;970;48
33330;Tampere;658;52
33500;Tampere;695;56
01800;Nurmijärvi;865;53
01800;Nurmijärvi;865;53
33200;Tampere;560;41.5
04420;Järvenpää;724;42
90100;Oulu;425;27
00420;Helsinki;929;46
33100;Tampere;620;48
00350;Helsinki;1050;52
13500;Hämeenlinna;781;46.5
01900;Nurmijärvi;800;48
33300;Tampere;420;26.5
02770;Espoo;650;26
01370;Vantaa;630;28
00240;Helsinki;1200;59.5
01520;Vantaa;1082;56
05800;Hyvinkää;933;58.5
02130;Espoo;950;52.5
15200;Lahti;623.45;48.5
00540;Helsinki;1210;60
05830;Hyvinkää;725;59.5
02280;Espoo;1390;77.5
00500;Helsinki;1270;63
00990;Helsinki;1016.36;50.5
00990;Helsinki;1016.36;50.5
15210;Lahti;669;53.5
15210;Lahti;669;53.5
00790;Helsinki;805;40
40100;Jyväskylä;1065;69
02200;Espoo;938;38.5
33580;Tampere;861;53
33100;Tampere;854.47;52.5
15200;Lahti;617;48
00990;Helsinki;1015;50.5
00900;Helsinki;903;45
00300;Helsinki;1182;59
00120;Helsinki;2500;125
15110;Lahti;820;70
48100;Kotka;515;37
